year,office,mean_shift,median_shift,mean_shift_wt,median_shift_wt
2004,PRESIDENT,6.257130685296208,4.991608918289241,4.314919940917349,3.4069017927933842
2004,US SENATE,17.827786683003016,16.979026360744793,13.944987745306,13.8687600644122
2006,GOVERNOR,7.845094420639431,5.887167941924918,5.920557938581533,4.36708770274424
2006,US SENATE,31.88394651974,32.05978906195431,27.436263463520405,28.914762213731272
2008,PRESIDENT,14.2176088930867,13.603104212860309,13.781470764661334,12.7789346786264
2010,GOVERNOR,18.883331473528816,18.151894999482245,13.831115661631127,13.6775649160638
2010,US SENATE,49.943331533716055,50.20599778823427,42.31022438488124,45.7355584606644
2012,GOVERNOR,8.940729279319543,6.761723712040521,5.398575351174346,4.40856540700091
2012,PRESIDENT,11.093995827495348,10.02246850622302,7.673482661995168,7.24494303031985
2012,US SENATE,11.601041298463041,10.87359287131703,10.139558579939727,9.26826240420877
2014,GOVERNOR,5.554022937858022,3.990472187193511,2.8418258328912525,1.99616457461646
2016,PRESIDENT,20.04413514305627,19.380010909207297,10.999698638061368,8.86585788744704
2016,US SENATE,16.039669783139775,15.42258937634675,10.152455788063788,8.580185413852085
2018,GOVERNOR,6.565652326779666,5.262094654065251,7.8497654038678775,7.01659038901602
2018,US SENATE,13.059609213821771,13.002152080344331,13.990730128274606,14.139132859333621
2020,PRESIDENT,5.162169802771839,4.089954099133216,4.458244915040424,4.089554107912335
2022,GOVERNOR,7.401773598975682,5.910112312647591,7.1619503940563325,5.920592059205923
2022,US SENATE,20.50533719774388,20.1985183391865,11.302213445161696,10.609960967138072
2024,PRESIDENT,4.240760373539775,3.190599522317065,2.476772335361134,1.9474751031780073
2024,US SENATE,4.9711967828727115,4.091122220920525,3.3086498592610587,2.77777777777778
